timestamp,greedy_modularity_communities
20190120,12
20190121,15
20190123,13
20190128,15
20190129,14
20190130,15
20190220,16
20190225,18
20190226,19
20190227,20
20190228,20
20190303,22
20190304,9
20190306,17
20190311,12
20190312,12
20190313,11
20190314,12
20190317,14
20190318,12
20190428,7
20190429,7
20190501,7
20190506,6
20190507,6
20190508,6
20190509,6
20190617,12
20190618,12
20190619,12
20190620,11
20190623,9
20190624,9
20190626,9
20190715,8
20190716,8
20190717,7
20190718,8
20190721,9
20190722,9
20190724,8
20190729,10
20190730,10
20190731,11
20190801,10
20190804,9
20190805,9
20190807,9
20190812,8
20190813,9
20190814,8
20190815,9
20190818,8
20190819,8
20190821,8
20190826,8
20190827,9
20190828,9
20190829,9
20190901,10
20190902,11
20190904,11
20190909,10
20190910,9
20190911,9
20190912,11
20190915,10
20190916,11
20190918,11
20190923,16
20190924,16
20190925,16
20190926,17
20190929,16
20190930,17
20191002,15
20191007,13
20191008,12
20191009,12
20191010,12
20191013,10
20191014,10
20191016,14
20191021,17
20191022,17
20191023,17
20191024,17
20191027,18
20191028,17
20191030,16
20191104,11
20191105,11
20191106,11
20191107,12
20191110,13
20191111,13
20191113,12
20191118,10
20200127,14
20200128,14
20200129,14
20200130,16
20200202,14
20200203,10
20200205,9
20200210,7
20200211,9
20200212,9
20200213,9
20200216,9
20200217,9
20200219,11
20200224,14
20200225,13
20200226,13
20200227,13
20200301,12
20200302,12
20200304,12
20200309,12
20200310,12
20200311,12
20200312,12
20200315,10
20200316,11
20200318,13
20200323,13
20200324,13
20200325,13
20200326,15
20200329,14
20200330,14
20200401,14
20200406,12
20200407,12
20200408,12
20200409,13
20200412,14
20200413,14
20200415,13
20200420,11
20200421,11
20200422,12
20200423,12
20200426,11
20200427,11
20200429,10
20200504,12
20200505,12
20200506,12
20200507,13
20200510,15
20200511,14
20200513,15
20200518,14
20200519,14
20200520,14
20200521,14
20200524,13
20200525,16
20200527,15
20200601,14
20200602,14
20200603,15
20200604,18
20200610,15
20200615,18
20200616,22
20200617,22
20200618,23
20200621,23
20200622,13
20200624,14
20200629,23
20200630,23
20200701,22
20200702,23
20200705,25
20200706,25
20200708,25
20200713,27
20200714,23
20200715,21
20200716,25
20200719,24
20200720,25
20200722,26
20200727,26
20200728,27
20200729,26
20200730,26
20200802,27
20200803,24
20200805,33
20200810,39
20200811,34
20200812,33
20200813,26
20200816,25
20200817,26
20200819,27
20200824,24
20200825,32
20200826,31
20200827,30
20200830,27
20200831,27
20200902,21
20200907,20
20200908,19
20200909,19
20200910,18
20200913,22
20200914,19
20200916,21
20200921,23
20200922,24
20200923,23
20200924,19
20200927,25
20200928,23
20200930,23
20201005,20
20201006,31
20201007,31
20201008,30
20201011,36
20201012,35
20201014,33
20201019,32
20201020,31
20201021,29
20201022,30
20201025,23
20201026,27
20201102,26
20201103,26
20201104,32
20201105,32
20201108,35
20201109,34
20201117,38
20201118,34
20201119,23
20201122,26
20201123,25
20201201,26
20201202,29
20201203,31
20201206,36
20201207,33
20201215,25
20201216,25
20201220,28
20201221,28
20201229,35
20201230,35
20210103,30
20210104,29
20210112,31
20210113,28
20210117,27
20210126,35
20210127,33
20210131,26
20210209,23
20210210,25
20210214,23
20210223,33
20210224,33
20210228,34
20210309,35
20210310,33
20210314,37
20210323,60
20210324,33
20210328,39
20210406,36
20210407,39
20210411,41
20210420,40
20210421,41
20210425,42
20210504,48
20210505,44
20210509,47
20210518,55
20210519,48
20210523,49
20210601,51
20210602,50
20210606,50
20210615,52
20210616,49
20210620,51
20210629,59
20210630,61
20210704,56
20210713,51
20210714,52
20210718,57
20210727,61
20210728,64
20210801,58
20210810,62
20210811,76
20210815,87
20210824,86
20210825,90
20210829,87
20210907,93
20210908,94
20210912,88
20210921,92
20210926,86
20211010,93
20220222,104
20220227,110
20220308,107
20220313,106
20220322,117
20220327,126
20220405,115
20220410,118
20220419,121
20220424,120
20220503,125
20220508,130
20220517,138
20220522,141
20220531,146
20220605,143
20230604,50
20230618,55
20230702,50
20230716,41
